Name MC MP
Bitcoin 1,166,553,736,806 61%
Ethereum 359,681,008,589 19%
Tether 110,605,966,975 6%
BNB 83,193,657,432 4%
Solana 62,351,352,255 3%
USDC 33,133,326,123 2%
XRP 28,906,477,523 2%
Dogecoin 19,315,112,726 1%
Toncoin 17,850,318,204 1%
Cardano 16,240,762,174 1%
