Name MC MP
Bitcoin 1,209,751,870,353 62%
Ethereum 366,915,623,260 19%
Tether 110,642,046,519 6%
BNB 84,847,779,285 4%
Solana 63,302,159,602 3%
USDC 33,260,616,106 2%
XRP 28,900,808,868 1%
Dogecoin 19,874,151,079 1%
Toncoin 18,981,986,548 1%
Cardano 16,566,687,412 1%
